ticker,name,who,target,entry,signal,horizon_weeks,n,rho,t_nw,top_minus_bottom_pct,top_n,bottom_n,rho_2006_2015,rho_2016_2026,consistent
UUP,Dollar index,Institutions,price,friday_release,crowd,1,953,-0.000,-0.015,0.070,129,176,-0.023,0.037,
UUP,Dollar index,Institutions,price,friday_release,turn,1,953,-0.038,-1.124,-0.173,69,103,-0.096,0.005,
UUP,Dollar index,Institutions,price,friday_release,chg1,4,1018,0.010,0.299,0.116,266,292,-0.076,0.075,
UUP,Dollar index,Institutions,price,friday_release,chg4,4,1018,0.017,0.379,0.067,274,292,-0.121,0.106,
UUP,Dollar index,Institutions,price,friday_release,crowd,4,950,0.042,0.748,0.276,129,176,0.035,0.065,
UUP,Dollar index,Institutions,price,friday_release,turn,4,950,-0.004,-0.088,0.054,69,103,-0.081,0.061,
UUP,Dollar index,Institutions,price,friday_release,chg1,8,1014,0.042,1.134,0.497,265,289,-0.008,0.082,
UUP,Dollar index,Institutions,price,friday_release,chg4,8,1014,0.048,0.928,0.556,274,289,-0.039,0.106,
UUP,Dollar index,Institutions,price,friday_release,crowd,8,946,0.066,0.855,0.713,128,176,0.130,0.048,
UUP,Dollar index,Institutions,price,friday_release,turn,8,946,-0.006,-0.100,0.100,69,102,-0.092,0.062,
UUP,Dollar index,Institutions,price,friday_release,chg1,13,1009,0.041,1.148,0.623,263,288,-0.001,0.068,
UUP,Dollar index,Institutions,price,friday_release,chg4,13,1009,0.030,0.572,0.355,271,289,-0.011,0.048,
UUP,Dollar index,Institutions,price,friday_release,crowd,13,941,0.027,0.284,0.530,123,176,0.105,0.016,
UUP,Dollar index,Institutions,price,friday_release,turn,13,941,0.013,0.180,0.307,69,102,-0.062,0.055,
UUP,Dollar index,Hedge funds,price,monday_after,chg1,1,1021,0.022,0.697,-0.010,199,173,0.054,-0.013,
UUP,Dollar index,Hedge funds,price,monday_after,chg4,1,1021,-0.033,-1.082,-0.084,199,182,-0.033,-0.037,
UUP,Dollar index,Hedge funds,price,monday_after,crowd,1,953,0.026,0.793,-0.069,128,195,0.086,-0.027,
UUP,Dollar index,Hedge funds,price,monday_after,turn,1,953,-0.067,-2.009,-0.521,44,43,-0.153,0.032,
UUP,Dollar index,Hedge funds,price,monday_after,chg1,4,1018,-0.026,-0.811,-0.211,199,173,0.015,-0.069,
UUP,Dollar index,Hedge funds,price,monday_after,chg4,4,1018,-0.012,-0.264,0.111,198,182,0.088,-0.098,
UUP,Dollar index,Hedge funds,price,monday_after,crowd,4,950,0.033,0.614,-0.068,126,195,0.150,-0.071,
UUP,Dollar index,Hedge funds,price,monday_after,turn,4,950,-0.037,-0.864,-0.542,44,43,-0.063,-0.002,
UUP,Dollar index,Hedge funds,price,monday_after,chg1,8,1014,0.010,0.301,-0.022,198,173,0.100,-0.076,
UUP,Dollar index,Hedge funds,price,monday_after,chg4,8,1014,0.022,0.423,0.455,195,182,0.146,-0.076,
UUP,Dollar index,Hedge funds,price,monday_after,crowd,8,946,0.063,0.906,0.199,124,195,0.185,-0.043,
UUP,Dollar index,Hedge funds,price,monday_after,turn,8,946,-0.061,-1.189,-0.882,44,43,-0.070,-0.030,
UUP,Dollar index,Hedge funds,price,monday_after,chg1,13,1009,0.025,0.771,0.114,197,172,0.118,-0.069,
UUP,Dollar index,Hedge funds,price,monday_after,chg4,13,1009,0.077,1.441,0.899,194,182,0.195,-0.044,
UUP,Dollar index,Hedge funds,price,monday_after,crowd,13,941,0.067,0.825,0.446,124,195,0.134,0.011,
