Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
1,2026,'560290000',SM,KG,233976,92389,425066,27432,9902,50103,38809,11083,67626,37355,21299,54016,46231,13027,97853,33756,13271,62387,28886,13061,49223,21507,10746,43858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560311200',SM,KG,39395046,759881,877818,5090504,100738,101985,4218455,78949,155730,7105294,139103,145446,3845826,71621,97184,5632780,108617,96449,5642752,105058,124496,7859435,155795,156528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560311900',SM,KG,37747305,721698,1045368,4251794,82700,154521,4838014,91837,131833,7390226,139841,187259,3362832,63288,106477,6911489,132309,153232,6349977,123154,183493,4642973,88569,128553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560312100',SM,KG,5454681,226086,276638,801405,33423,30995,426574,16370,25803,1518510,63093,67954,347335,14486,28361,188184,8376,17844,677384,29397,42905,1495289,60941,62776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560312200',SM,KG,42013911,1861238,1927863,4357034,197310,194113,6115346,273962,317729,6510016,288684,280441,8081420,335950,370623,4931991,216908,191704,6060207,267273,288714,5957897,281151,284539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560312300',SM,KG,37332558,1302316,1836872,2325929,82249,117072,2190445,75900,107961,5043739,175779,242560,7500628,259937,363776,7869783,269305,365434,6175289,216225,317634,6226745,222921,322435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560312900',SM,KG,31760975,1375989,2485397,6260328,270196,497504,4347470,188084,341089,5118130,231186,386356,5228166,218432,421744,3057979,130730,242424,3521685,150261,252352,4227217,187100,343928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560313200',SM,KG,31062803,2912737,2628157,4077862,385069,306984,3944591,390290,343256,5967099,556931,373377,4810098,445746,416472,4149639,379863,408209,4115008,380904,384909,3998506,373934,394950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560313300',SM,KG,4019830,363526,429921,832426,71982,74752,776886,68577,57208,407283,37319,51841,322221,29639,49373,471887,42574,62299,545708,52281,76618,663419,61154,57830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560313900',SM,KG,7504467,625298,1128704,1488307,121217,211507,1156658,97792,156932,1054860,92309,146816,1361354,112817,178364,1188281,96871,189054,634093,55400,123146,620914,48892,122885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560314100',SM,KG,121004,40910,113101,45405,15406,10898,4225,2827,9952,8514,2602,19584,12017,5190,25094,26239,8588,12634,17440,4426,17793,7164,1871,17146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560314200',SM,KG,9442797,2702522,3556316,1083123,300940,479262,1288647,369067,464607,1277145,368045,505703,1594103,482813,570640,1457886,402069,513023,1417232,393717,551112,1324661,385871,471969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560314900',SM,KG,2178712,604907,1149516,283850,76674,135940,219844,59803,114488,315200,84723,166161,328530,92483,166879,350786,99939,186560,329022,90495,177283,351480,100790,202205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560391300',SM,KG,3403721,55428,51864,7000,116,2254,8700,137,1196,273700,3942,4945,19248,313,3903,398133,4847,2398,966206,17376,12386,1730734,28697,24782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560391900',SM,KG,17832767,288760,1006818,1674306,28018,104781,2340487,44369,109525,2938252,30927,169665,3044326,50196,167198,2688467,51430,160010,2265369,41079,131059,2881560,42741,164580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560392100',SM,KG,43569725,1674528,7015743,5386955,188335,790987,3163879,129742,540450,7796697,299971,1195232,6872519,250585,1048988,4871014,199301,791598,9840629,367498,1608750,5638032,239096,1039738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560392200',SM,KG,27201705,1298747,1715219,3863888,184930,228966,4185229,210213,292525,5449500,288451,363914,3867617,178647,241102,3513407,163389,213504,4059550,178230,242039,2262514,94887,133169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560392300',SM,KG,5312833,276938,1100549,1160251,61330,217142,423843,21421,81044,628372,35365,144159,634725,35530,131543,972362,48023,187729,584621,34242,177846,908659,41027,161086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560392900',SM,KG,34921016,1454296,2481716,5505544,222840,345829,3636243,162724,312078,5840164,244383,422731,5612512,224252,378583,4474410,197469,325179,4644392,192527,321480,5207751,210101,375836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560393100',SM,KG,3535373,395962,1886407,267847,30752,133161,667881,76045,341071,596927,67152,320931,455126,50412,248959,520147,56498,269691,509938,56331,269774,517507,58772,302820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560393200',SM,KG,198158758,15698781,16804011,22478077,1787063,1898170,22412958,1803400,1896260,25078508,1980841,2107949,31516651,2477889,2668249,30839378,2450917,2519384,32127332,2544337,2698795,33705854,2654334,3015204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560393900',SM,KG,7575530,642219,1001010,735680,61022,80540,983156,82216,99702,1103026,101508,125146,1393699,114009,146972,750203,68088,121967,1249529,101020,131075,1360237,114356,295608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560394100',SM,KG,4292785,1171831,5723836,888048,251270,1175817,971829,231648,1049948,458685,114551,605786,659156,177339,876927,538259,155878,741249,414628,122531,642373,362180,118614,631736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560394200',SM,KG,12769469,3966798,18984182,1152875,358940,1694028,1564133,467334,2197513,2284821,675457,3375938,1704154,542360,2631053,2039553,657807,2996494,1928983,619482,2947919,2094950,645418,3141237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560394900',SM,KG,9351502,2208718,2567644,1049245,230845,277445,1188187,274158,324054,1607603,389403,431485,1185100,288675,343801,1650339,344289,368490,1363263,337228,392825,1307765,344120,429544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560410000',  ,KG,0,22909,100490,0,3001,10746,0,2059,9451,0,3898,14109,0,3023,14260,0,3970,20033,0,3186,16056,0,3772,15835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560490100',  ,KG,0,246366,4894262,0,28822,697853,0,23605,436160,0,42128,850183,0,50938,970893,0,24367,409025,0,44996,851471,0,31510,678677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560490900',  ,KG,0,110909,559371,0,13637,78429,0,17070,66809,0,19250,92548,0,9655,64456,0,13198,39415,0,22582,111286,0,15517,106428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560500000',  ,KG,0,124420,999700,0,17858,99590,0,18880,170582,0,16224,129250,0,15384,118787,0,15081,143999,0,16111,125365,0,24882,212127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560600000',  ,KG,0,207423,837359,0,36600,134451,0,27809,119713,0,38911,150564,0,28188,123858,0,31710,110678,0,22566,100549,0,21639,97546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560729000',  ,KG,0,2804,4370,0,0,0,0,0,0,0,182,374,0,0,0,0,0,0,0,14,259,0,2608,3737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560741000',  ,KG,0,21632,29894,0,2708,3115,0,1350,1225,0,506,407,0,6010,9229,0,0,0,0,7188,9419,0,3870,6499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560749000',  ,KG,0,235762,1091529,0,24029,130581,0,23233,86190,0,30842,150364,0,29783,125281,0,49854,210771,0,43226,248129,0,34795,140213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560750100',  ,KG,0,167176,849511,0,16817,87644,0,24952,108186,0,41295,154676,0,22247,111236,0,22949,115591,0,20872,109040,0,18044,163138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560750200',  ,KG,0,238807,540779,0,35185,63919,0,23008,56915,0,47383,114192,0,24764,69558,0,32954,68777,0,34150,67687,0,41363,99731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560750900',  ,KG,0,13425,110362,0,2134,9812,0,2602,12409,0,3851,22403,0,1234,13921,0,1043,20545,0,1120,17033,0,1441,14239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560790000',  ,KG,0,9765,64785,0,740,8301,0,1409,4401,0,945,6472,0,1160,14770,0,2020,9743,0,3161,14053,0,330,7045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560811100',  ,KG,0,936404,676282,0,37646,49204,0,132464,109555,0,197070,103361,0,98063,121517,0,124431,112725,0,188800,83493,0,157930,96427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
