report_month,market,company_id,company_name,industry,rev_month_twd_k,rev_prev_month_twd_k,rev_year_ago_month_twd_k,mom_pct,yoy_pct,rev_cum_twd_k,rev_cum_prev_year_twd_k,cum_yoy_pct,note
2026-07,otc,3290,東浦,電子零組件業,366177,344907,192874,6.17,89.85,2223764,1201870,85.03,主要係併入BI-LINK 公司之營業收入。
2026-07,otc,3293,鈊象,文化創意業,2228833,2166407,1770942,2.88,25.86,14907000,12726579,17.13,-
2026-07,otc,3294,英濟,電子零組件業,383530,275848,363777,39.04,5.43,1849966,1959936,-5.61,-
2026-07,otc,3297,杭特,光電業,25485,24626,20758,3.49,22.77,141054,115013,22.64,-
2026-07,otc,3303,岱稜,其他電子業,346240,374252,263799,-7.48,31.25,2099808,1765131,18.96,-
2026-07,otc,3306,鼎天,通信網路業,110135,100628,87169,9.45,26.35,655329,604180,8.47,-
2026-07,otc,3310,佳穎,電子零組件業,860312,338202,134710,154.38,538.64,1975458,1935626,2.06,"本月認列建案""敦南""營收"
2026-07,otc,3313,斐成,建材營造,631,5906,4037,-89.32,-84.37,19808,4894,304.74,本年累計營收較去年同期增加，主係本年合併子公司之營收增加所致。
2026-07,otc,3317,尼克森,半導體業,235344,247597,218738,-4.95,7.59,1669805,1546693,7.96,-
2026-07,otc,3322,建舜電,電子零組件業,291708,264851,233260,10.14,25.06,1905598,1754274,8.63,-
2026-07,otc,3323,加百裕,電腦及週邊設備業,388693,317364,431311,22.48,-9.88,2562419,2899174,-11.62,-
2026-07,otc,3324,雙鴻,其他電子業,3765466,2718035,1737663,38.54,116.70,21014269,11465627,83.28,成長動能來自AI伺服器液冷散熱系統市佔率持續攀升。
2026-07,otc,3325,旭品,電腦及週邊設備業,37085,53270,106404,-30.38,-65.15,405372,748824,-45.87,主要係電腦機殼及週邊營收減少所致
2026-07,otc,3332,幸康,電子零組件業,178060,160781,158835,10.75,12.10,1124492,982462,14.46,-
2026-07,otc,3339,泰谷,光電業,67334,66843,77413,0.73,-13.02,479606,478027,0.33,-
2026-07,otc,3349,寶德,電腦及週邊設備業,12273,53621,41267,-77.11,-70.26,203291,304751,-33.29,主要客戶延遲出貨
2026-07,otc,3354,律勝,電子零組件業,12342,9718,9679,27.00,27.51,77360,59221,30.63,-
2026-07,otc,3357,臺慶科,電子零組件業,875885,764513,536330,14.57,63.31,4789387,3706276,29.22,受AI、車用及網通等產品需求持續提升，客戶出貨動能延續近期成長趨勢，致本月營收較去年同期成長63.31%。
2026-07,otc,3360,尚立,電子通路業,999135,1177311,640272,-15.13,56.05,6249772,3790241,64.89,"本月較去年同月增加56.05％,係客戶需求增加"
2026-07,otc,3362,先進光,光電業,416111,262330,408430,58.62,1.88,2474280,2506533,-1.29,-
2026-07,otc,3363,上詮,通信網路業,170843,157445,152411,8.51,12.09,982000,1145890,-14.30,-
2026-07,otc,3372,典範,半導體業,126159,113086,102698,11.56,22.84,774160,613179,26.25,-
2026-07,otc,3373,熱映,其他電子業,37012,46400,30163,-20.23,22.71,251010,222581,12.77,-
2026-07,otc,3374,精材,半導體業,860894,764006,657350,12.68,30.96,4959289,3739612,32.62,-
2026-07,otc,3379,彬台,電機機械,136408,62144,72222,119.50,88.87,435255,649380,-32.97,主係本期設備銷售之銷貨收入較去年同期增加所致
2026-07,otc,3388,崇越電,電子零組件業,729945,736337,610679,-0.87,19.53,5118443,4293684,19.21,-
2026-07,otc,3390,旭軟,電子零組件業,85919,91738,60811,-6.34,41.29,572735,438428,30.63,-
2026-07,otc,3402,漢科,其他電子業,592044,553782,432866,6.91,36.77,3536310,2956579,19.61,-
2026-07,otc,3430,奇鈦科,化學工業,152253,170941,128369,-10.93,18.61,1124812,890599,26.30,-
2026-07,otc,3434,哲固,光電業,25027,70074,50588,-64.28,-50.53,281242,447403,-37.14,客戶庫存調整訂單需求減少
2026-07,otc,3438,類比科,半導體業,71159,86149,98087,-17.40,-27.45,519382,640806,-18.95,-
2026-07,otc,3441,聯一光電,光電業,51374,41377,45825,24.16,12.11,306614,229801,33.43,-
2026-07,otc,3444,利機,電子通路業,137220,117503,101018,16.78,35.84,790453,724754,9.07,-
