report_month,market,company_id,company_name,industry,rev_month_twd_k,rev_prev_month_twd_k,rev_year_ago_month_twd_k,mom_pct,yoy_pct,rev_cum_twd_k,rev_cum_prev_year_twd_k,cum_yoy_pct,note
2026-07,sii,4560,強信-KY,電機機械,170192,170548,130508,-0.21,30.41,1135138,984440,15.31,-
2026-07,sii,4562,穎漢,電機機械,52576,48074,66296,9.36,-20.70,378584,450118,-15.89,-
2026-07,sii,4564,元翎,電機機械,88620,63401,67889,39.78,30.54,475497,683819,-30.46,-
2026-07,sii,4566,時碩工業,電機機械,554718,529998,420535,4.66,31.91,3376933,2911119,16.00,-
2026-07,sii,4569,六方科-KY,汽車工業,180365,162894,170328,10.73,5.89,1160830,1081553,7.33,-
2026-07,sii,4571,鈞興-KY,電機機械,327187,232308,240363,40.84,36.12,1836864,1768107,3.89,-
2026-07,sii,4572,駐龍,電機機械,59549,63339,56830,-5.98,4.78,434544,403640,7.66,-
2026-07,sii,4576,大銀微系統,電機機械,366927,344085,229129,6.64,60.14,2243495,1498970,49.67,本月營收較去年同期增加，主係客戶需求較去年同期增加。
2026-07,sii,4581,光隆精密-KY,汽車工業,98908,111401,92453,-11.21,6.98,695622,654504,6.28,-
2026-07,sii,4582,聚恆-創,綠能環保,105327,258156,78338,-59.20,34.45,1071894,425982,151.63,主係因採用完工比例法認列進度時點差異所致。
2026-07,sii,4583,台灣精銳,電機機械,311819,274287,257463,13.68,21.11,2072591,1801195,15.07,-
2026-07,sii,4585,達明,其他電子業,142491,214317,115078,-33.51,23.82,1138108,1006406,13.09,-
2026-07,sii,4588,玖鼎電力,其他電子業,143991,103142,78306,39.60,83.88,577205,437108,32.05,因按照合約規範，每月出貨數量依客戶通知出貨。
2026-07,sii,4590,富田-創,電機機械,89566,119895,87482,-25.30,2.38,658957,742807,-11.29,-
2026-07,sii,4720,德淵,化學工業,365856,337386,293810,8.44,24.52,2341656,2075855,12.80,-
2026-07,sii,4722,國精化,化學工業,442668,362609,347993,22.08,27.21,2370647,2237856,5.93,-
2026-07,sii,4736,泰博,生技醫療業,376619,360204,427562,4.56,-11.91,2498661,2525406,-1.06,-
2026-07,sii,4737,華廣,生技醫療業,145718,143609,142322,1.47,2.39,977613,1095448,-10.76,-
2026-07,sii,4739,康普,化學工業,975627,953770,426192,2.29,128.92,6486565,2930501,121.35,本月營收及累計營收較去年同期增加，主係動力電池材料銷售增加。
2026-07,sii,4746,台耀,生技醫療業,388241,421860,376439,-7.97,3.14,2563302,2762988,-7.23,-
2026-07,sii,4755,三福化,化學工業,407717,464390,361153,-12.20,12.89,2778927,2771933,0.25,-
2026-07,sii,4763,材料*-KY,化學工業,1058745,1013200,801747,4.50,32.05,6613070,8815481,-24.98,-
2026-07,sii,4764,雙鍵,化學工業,294229,284417,204231,3.45,44.07,2049977,1593945,28.61,-
2026-07,sii,4766,南寶,化學工業,2396727,2093401,1984741,14.49,20.76,14816198,13344636,11.03,-
2026-07,sii,4770,上品,化學工業,526548,470234,356449,11.98,47.72,2889693,2634626,9.68,-
2026-07,sii,4771,望隼,生技醫療業,314572,394887,281664,-20.34,11.68,2541364,1964560,29.36,-
2026-07,sii,4807,日成-KY,貿易百貨,242998,258266,175177,-5.91,38.72,1503939,1161798,29.45,-
2026-07,sii,4904,遠傳,通信網路業,9252373,9622202,8054845,-3.84,14.87,65720784,59322551,10.79,-
2026-07,sii,4906,正文,通信網路業,1549932,1193259,1172025,29.89,32.24,8264782,10525215,-21.48,-
