yyyymm,imex,hs_code,stage,value_jpy_k,quantity1,unit1,quantity2,unit2,source_file,retrieved_at
2026-05,E,854110920,DETAILED,2209661,0,,315557689,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854110920,DETAILED,2270240,0,,291745945,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854110920,DETAILED,2411368,0,,318859044,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854121100,DETAILED,5146469,0,,3341408,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854121100,DETAILED,5228615,0,,3434883,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854121100,DETAILED,6167311,0,,3688769,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854121100,DETAILED,6187910,0,,3699312,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854121100,DETAILED,5254774,0,,3219336,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854121100,DETAILED,6149030,0,,3633453,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854121100,DETAILED,6638648,0,,4187735,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854121910,DETAILED,1878481,0,,203227485,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854121910,DETAILED,1816610,0,,198794028,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854121910,DETAILED,2684999,0,,263286408,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854121910,DETAILED,1806780,0,,226674134,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854121910,DETAILED,2512604,0,,233039917,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854121910,DETAILED,2994954,0,,235037974,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854121910,DETAILED,1978380,0,,193277161,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854121990,DETAILED,138578,0,,4221562,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854121990,DETAILED,78008,0,,2765360,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854121990,DETAILED,74650,0,,38783595,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854121990,DETAILED,100904,0,,3025275,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854121990,DETAILED,67262,0,,3403266,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854121990,DETAILED,85573,0,,3731590,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854121990,DETAILED,40753,0,,4726925,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854129100,DETAILED,8077272,0,,335392,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854129100,DETAILED,7843114,0,,344282,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854129100,DETAILED,7871993,0,,445046,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854129100,DETAILED,7509714,0,,532198,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854129100,DETAILED,8076594,0,,418375,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854129100,DETAILED,8734415,0,,479357,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854129100,DETAILED,10221783,0,,471285,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854129910,DETAILED,9721066,0,,98622306,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854129910,DETAILED,8578309,0,,98717015,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854129910,DETAILED,10154289,0,,110440511,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854129910,DETAILED,11200508,0,,124278851,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854129910,DETAILED,9435606,0,,105477675,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854129910,DETAILED,10574908,0,,111919387,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854129910,DETAILED,12604820,0,,128444064,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854129990,DETAILED,14921389,0,,34781698,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854129990,DETAILED,12262432,0,,26114536,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854129990,DETAILED,18468226,0,,54109830,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854129990,DETAILED,14737641,0,,34716670,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854129990,DETAILED,12124454,0,,35811929,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854129990,DETAILED,11432344,0,,37641488,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854129990,DETAILED,12904666,0,,22345949,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854130100,DETAILED,117430,0,,9918,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854130100,DETAILED,105129,0,,13907,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854130100,DETAILED,143495,0,,17130,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854130100,DETAILED,207376,0,,16692,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854130100,DETAILED,149310,0,,15462,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854130100,DETAILED,141283,0,,15401,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854130100,DETAILED,104734,0,,15249,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854130900,DETAILED,263332,0,,3877853,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854130900,DETAILED,297760,0,,6584308,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854130900,DETAILED,258799,0,,4245053,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854130900,DETAILED,305155,0,,4760663,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854130900,DETAILED,207783,0,,3012515,NO,estat_E_2026-07_000040494506.csv,2026-09-02
