yyyymm,period_type,stage,lang,section,imex,area,name,level,value_jpy_m,value_year_ago_jpy_m,yoy_pct,quantity,unit,qty_yoy_pct,share_pct,contribution_pt,extra_json,retrieved_at
2026-07,MONTH_PROV,4,en,AREA,E,(ASEAN),(ASEAN),1,1738972,,27.80,,,,,,"{""chiikikuni"": ""(ASEAN)"", ""chiikikunikbn"": ""1"", ""exportkagakue"": ""1,738,972"", ""exportnobiritsu"": ""27.8"", ""importkagakue"": ""1,955,332"", ""importnobiritsu"": ""30.9"", ""sashihikikagakue"": ""-216,360"", ""sashihikinobiritsu"": ""63.5""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,(ASEAN),(ASEAN),1,1955332,,30.90,,,,,,"{""chiikikuni"": ""(ASEAN)"", ""chiikikunikbn"": ""1"", ""exportkagakue"": ""1,738,972"", ""exportnobiritsu"": ""27.8"", ""importkagakue"": ""1,955,332"", ""importnobiritsu"": ""30.9"", ""sashihikikagakue"": ""-216,360"", ""sashihikinobiritsu"": ""63.5""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,(ASEAN),(ASEAN),1,-216360,,63.50,,,,,,"{""chiikikuni"": ""(ASEAN)"", ""chiikikunikbn"": ""1"", ""exportkagakue"": ""1,738,972"", ""exportnobiritsu"": ""27.8"", ""importkagakue"": ""1,955,332"", ""importnobiritsu"": ""30.9"", ""sashihikikagakue"": ""-216,360"", ""sashihikinobiritsu"": ""63.5""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,OCEANIA,OCEANIA,1,353225,,43.90,,,,,,"{""chiikikuni"": ""OCEANIA"", ""chiikikunikbn"": ""1"", ""exportkagakue"": ""353,225"", ""exportnobiritsu"": ""43.9"", ""importkagakue"": ""799,164"", ""importnobiritsu"": ""23.9"", ""sashihikikagakue"": ""-445,939"", ""sashihikinobiritsu"": ""11.6""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,OCEANIA,OCEANIA,1,799164,,23.90,,,,,,"{""chiikikuni"": ""OCEANIA"", ""chiikikunikbn"": ""1"", ""exportkagakue"": ""353,225"", ""exportnobiritsu"": ""43.9"", ""importkagakue"": ""799,164"", ""importnobiritsu"": ""23.9"", ""sashihikikagakue"": ""-445,939"", ""sashihikinobiritsu"": ""11.6""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,OCEANIA,OCEANIA,1,-445939,,11.60,,,,,,"{""chiikikuni"": ""OCEANIA"", ""chiikikunikbn"": ""1"", ""exportkagakue"": ""353,225"", ""exportnobiritsu"": ""43.9"", ""importkagakue"": ""799,164"", ""importnobiritsu"": ""23.9"", ""sashihikikagakue"": ""-445,939"", ""sashihikinobiritsu"": ""11.6""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,AUSTRAL,AUSTRAL,2,275307,,45,,,,,,"{""chiikikuni"": ""AUSTRAL"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""275,307"", ""exportnobiritsu"": ""45.0"", ""importkagakue"": ""725,637"", ""importnobiritsu"": ""27.0"", ""sashihikikagakue"": ""-450,330"", ""sashihikinobiritsu"": ""18.0""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,AUSTRAL,AUSTRAL,2,725637,,27,,,,,,"{""chiikikuni"": ""AUSTRAL"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""275,307"", ""exportnobiritsu"": ""45.0"", ""importkagakue"": ""725,637"", ""importnobiritsu"": ""27.0"", ""sashihikikagakue"": ""-450,330"", ""sashihikinobiritsu"": ""18.0""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,AUSTRAL,AUSTRAL,2,-450330,,18,,,,,,"{""chiikikuni"": ""AUSTRAL"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""275,307"", ""exportnobiritsu"": ""45.0"", ""importkagakue"": ""725,637"", ""importnobiritsu"": ""27.0"", ""sashihikikagakue"": ""-450,330"", ""sashihikinobiritsu"": ""18.0""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,NEWZELD,NEWZELD,2,34232,,19.40,,,,,,"{""chiikikuni"": ""NEWZELD"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""34,232"", ""exportnobiritsu"": ""19.4"", ""importkagakue"": ""35,257"", ""importnobiritsu"": ""-4.7"", ""sashihikikagakue"": ""-1,025"", ""sashihikinobiritsu"": ""-87.7""}",2026-09-02
