Date,Open,High,Low,Close,Volume
2022-09-15,1.9048,1.938,1.8958,1.9204,135911623
2022-09-16,1.898,1.925,1.8674,1.9178,131001177
2022-09-19,1.9038,1.9244,1.875,1.9144,65542552
2022-09-20,1.9194,1.939,1.8468,1.8494,122729525
2022-09-21,1.8246,1.8528,1.8114,1.8324,103548666
2022-09-22,1.8124,1.8908,1.794,1.8526,118143235
2022-09-23,1.869,1.869,1.7644,1.7674,124629757
2022-09-26,1.7604,1.8158,1.757,1.7714,113888502
2022-09-27,1.7904,1.7948,1.7284,1.7358,136114159
2022-09-28,1.707,1.7256,1.681,1.7064,177255311
2022-09-29,1.7,1.7044,1.635,1.6518,156512960
2022-09-30,1.678,1.705,1.6634,1.6978,143036501
2022-10-03,1.6638,1.737,1.6638,1.73,103744611
2022-10-04,1.77,1.793,1.7528,1.7858,93871275
2022-10-05,1.776,1.7828,1.7164,1.7378,97494637
2022-10-06,1.7638,1.7638,1.7064,1.719,94159178
2022-10-07,1.7016,1.7356,1.699,1.7096,95260722
2022-10-10,1.694,1.725,1.6926,1.7082,69636324
2022-10-11,1.6956,1.7064,1.6586,1.697,103632646
2022-10-12,1.696,1.697,1.654,1.6788,72451643
2022-10-13,1.6704,1.7192,1.6574,1.7056,100520561
2022-10-14,1.7346,1.7556,1.7126,1.7198,120594846
2022-10-17,1.722,1.7432,1.7088,1.7408,84205614
2022-10-18,1.7646,1.8236,1.7622,1.7996,126851966
2022-10-19,1.8074,1.8282,1.792,1.7954,73100601
2022-10-20,1.784,1.8348,1.775,1.8246,68146931
2022-10-21,1.8064,1.8346,1.7932,1.8278,76546710
2022-10-24,1.84,1.87,1.823,1.855,85910018
2022-10-25,1.8704,1.872,1.824,1.8594,98846837
2022-10-26,1.8642,1.8794,1.84,1.8714,80446763
2022-10-27,1.8624,1.9056,1.8378,1.9038,139589722
2022-10-28,1.89,1.9086,1.8684,1.902,85668774
2022-10-31,1.9108,1.9378,1.9056,1.9318,102707022
2022-11-01,1.925,1.9698,1.925,1.9402,99090634
2022-11-02,1.9596,1.9618,1.93,1.9518,86170428
2022-11-03,1.9296,1.97,1.9254,1.968,81402112
2022-11-04,1.985,2.0736,1.964,2.0558,231745509
2022-11-07,2.06,2.1336,2.0554,2.1306,170195521
2022-11-08,2.128,2.157,2.1234,2.152,113610910
2022-11-09,2.134,2.18,2.1254,2.1566,116805855
2022-11-10,2.142,2.208,2.141,2.1804,135631197
2022-11-11,2.182,2.188,2.157,2.164,112203499
2022-11-14,2.173,2.1956,2.158,2.189,81768768
2022-11-15,2.194,2.205,2.1584,2.1856,97513696
2022-11-16,2.181,2.1986,2.179,2.1916,79945805
2022-11-17,2.2106,2.2106,2.1464,2.174,112073060
2022-11-18,2.2026,2.2176,2.1784,2.21,141543298
2022-11-21,2.1726,2.196,2.1364,2.1426,120352156
2022-11-22,2.146,2.174,2.139,2.164,68156063
2022-11-23,2.162,2.169,2.129,2.15,74129049
2022-11-24,2.153,2.1646,2.1424,2.1594,53493712
2022-11-25,2.1586,2.173,2.147,2.153,45349038
2022-11-28,2.149,2.149,2.116,2.122,71002288
2022-11-29,2.131,2.1416,2.088,2.1346,80397691
2022-11-30,2.146,2.164,2.116,2.131,70298974
2022-12-01,2.1346,2.1396,2.078,2.088,103035533
2022-12-02,2.072,2.0996,2.069,2.0906,69646418
2022-12-05,2.096,2.107,2.0764,2.084,51721076
2022-12-06,2.0736,2.082,2.0604,2.0736,68496111
2022-12-07,2.057,2.0846,2.0424,2.061,62329073
2022-12-08,2.0726,2.075,2.045,2.0554,36456591
2022-12-09,2.069,2.08,2.03,2.061,76822247
2022-12-12,2.05,2.0826,2.05,2.069,57050370
2022-12-13,2.088,2.1146,2.0674,2.097,91482087
2022-12-14,2.1,2.104,2.076,2.089,57535876
